group,L,boundary,hs_scheme,configuration,pf_weight_real,pf_weight_imag,dense_weight_real,dense_weight_imag,weight_error,z2_match,green_error,determinant_identity_error
dense_L4_random,4,0,0,58,2.2261841093876984,4.9302676618918937e-17,2.2261841093877117,-1.4322229102019251e-16,5.9851596498363994e-15,1,2.2766745026858954e-15,7.1686611297422399e-16
dense_L4_random,4,0,0,59,1.9372166201377057,-8.1897452088981774e-17,1.9372166201377166,1.8878084474593736e-17,5.6166420547940262e-15,1,2.0124141626887456e-15,5.9167586276462757e-16
dense_L4_random,4,0,0,60,2.0814407347893096,-9.367661952069978e-17,2.0814407347893233,2.5346049596711043e-16,6.6161583240430787e-15,1,1.6846604437162624e-15,1.138026438424989e-32
dense_L4_random,4,0,0,61,3.0260858518004099,2.6837138825837035e-16,3.0260858518004286,-4.289037349461597e-17,6.1645124184822963e-15,1,1.9096686067568354e-15,2.153664017866597e-32
dense_L4_random,4,0,0,62,3.026085851800409,2.6463962260272119e-16,3.0260858518004286,-4.3970405573918314e-17,6.4579668601164273e-15,1,1.6622458813002835e-15,7.759392374676199e-16
dense_L4_random,4,0,0,63,2.4477022494854874,1.1156171863838027e-16,2.4477022494855021,-8.700685442692351e-18,5.9874265232267781e-15,1,1.7797396585389244e-15,2.9649204018984341e-16
dense_L4_random,4,0,0,64,1.1057458603910792,-6.8110474939779973e-17,1.1057458603910855,1.0974126469703354e-16,5.6249744809381974e-15,1,2.4590251216075263e-15,0
dense_L4_random,4,0,0,65,2.4477022494854874,1.1156171863838027e-16,2.4477022494855021,-8.700685442692351e-18,5.9874265232267781e-15,1,1.7797396585389244e-15,2.9649204018984341e-16
dense_L4_random,4,0,0,66,1.4775783919535888,7.5138011673090903e-17,1.4775783919535987,3.8992991588899055e-17,6.7624652953799167e-15,1,1.5546836692719021e-15,2.0340852866357023e-16
dense_L4_random,4,0,0,67,1.394713349641072,2.5621241221202695e-16,1.3947133496410811,-2.4334583383528263e-16,6.5372033167181485e-15,1,2.6381355858360193e-15,0
dense_L4_random,4,0,0,68,2.9747898268218056,2.1465998367820281e-16,2.9747898268218256,9.658149947773339e-17,6.7179076323490495e-15,1,1.4110622072442096e-15,2.0073247398871728e-16
dense_L4_random,4,0,0,69,1.1057458603910792,-6.8110474939779973e-17,1.1057458603910855,1.0974126469703354e-16,5.6249744809381974e-15,1,2.4590251216075263e-15,0
dense_L4_random,4,0,0,70,3.4887968770644404,-6.6141871855718905e-17,3.4887968770644617,9.8547671040044738e-17,6.1101058645603175e-15,1,1.2725004021435258e-15,8.1013813672146939e-33
