campaign,L,V,theta,delta,mu,boundary,hs_scheme,stabilization_interval,guard,n,S_pi,S_pi_seed_sem,S_pi_dq,S_pi_dq_seed_sem,R_cdw,R_cdw_seed_sem,average_sign,average_sign_seed_sem,sign_corrections,diagnostic_sign_mismatch_count,max_sign_imag,max_fast_full_green_rel
hs_crosscheck,10,2,10,1,0,1,1,10,0,6,0.04541831564017649,0.00026205628208458164,0.0362601638976368,0.0001235150362226572,0.2014932279723508,0.005759237554269364,1.0,0.0,0.0,0.0,9.318536465030804e-12,0.0
hs_crosscheck,10,2,18,1,0,0,0,10,0,6,0.045565012554920896,0.00024302693314544858,0.03530968674808151,4.70667028545645e-05,0.2249458137628859,0.004736192900355182,0.7903333333333333,0.004507606739559093,0.0,0.0,8.780687258500515e-09,0.0
hs_crosscheck,10,2,18,1,0,0,1,10,0,6,0.04562644680536829,0.00015419730949672167,0.03543942889343491,6.40229931738983e-05,0.22321103716852242,0.0036640879152242153,1.0,0.0,0.0,0.0,1.3938065243852638e-11,0.0
hs_crosscheck,10,2,18,1,0,1,0,10,0,6,0.04634917141617159,0.00014913417146867158,0.03643641537692758,8.428871074799738e-05,0.21383403587254834,0.0029500779670570297,0.7637777777777778,0.0061286616668862134,0.0,0.0,2.624892448670844e-09,0.0
hs_crosscheck,10,2,18,1,0,1,1,10,0,6,0.046538690038045415,0.00031794314636631257,0.03656273372272017,0.00013164001965501048,0.21418778032078756,0.005722458036233099,1.0,0.0,0.0,0.0,2.255189664363569e-11,0.0
hs_crosscheck,10,4,10,1,0,0,0,10,0,6,0.1048277303371244,0.017786168442472643,0.03025700206355714,0.010243005605368309,0.5081723023949143,0.2789284472654695,0.14188888888888887,0.009199704772504091,0.0,0.0,0.0007644277246398111,0.0
hs_crosscheck,10,4,10,1,0,0,1,10,0,6,0.12214295353190356,0.0005523950711055904,0.02972526677229025,0.00010432115029975794,0.7565924979535047,0.0019199894490849955,1.0,0.0,0.0,0.0,3.661792585503477e-09,0.0
hs_crosscheck,10,4,10,1,0,1,0,10,0,6,0.10849215450254568,0.015154753490311205,0.037916049065578654,0.007519946085378377,0.5297910964959865,0.19632661546692984,0.2845555555555555,0.002772439314590387,0.0,0.0,0.0022061640447778356,0.0
hs_crosscheck,10,4,10,1,0,1,1,10,0,6,0.10799657631983162,0.0007497698176664792,0.03434788866812158,0.00029229943602517597,0.6817866270330389,0.004859787307987377,1.0,0.0,0.0,0.0,4.716270616787148e-08,0.0
hs_crosscheck,10,4,18,1,0,0,0,10,0,6,0.1756131508769632,0.1291725108883268,-0.022258484405226698,0.07493312284079019,0.7913438744270872,0.3655965872255565,0.04044444444444444,0.007478694016840833,2.0,0.0,9.462489506582232e-05,0.0
hs_crosscheck,10,4,18,1,0,0,1,10,0,6,0.12261751335256958,0.0004272002075691071,0.02950781995651092,0.0001386787006639767,0.7593191688113944,0.0019106444728926326,1.0,0.0,0.0,0.0,5.45333014144982e-09,0.0
hs_crosscheck,10,4,18,1,0,1,0,10,0,6,0.14382254817657095,0.01462852746195346,0.03292410390994781,0.004619475174323884,0.7537392801435754,0.047782667011300156,0.10411111111111111,0.0078115141353274,0.0,0.0,1.3988168241068042e-05,0.0
hs_crosscheck,10,4,18,1,0,1,1,10,0,6,0.10607815096119322,0.0006215580565799363,0.034915786137064954,0.0001870716203510918,0.6707445554381674,0.00358695640420149,1.0,0.0,0.0,0.0,7.144981607493822e-08,0.0
hs_crosscheck,10,6,10,1,0,0,0,10,0,6,0.15512590718144917,0.018151027133064056,0.009981108122542055,0.008967797687864437,0.951551079552058,0.05682132360720279,0.15433333333333335,0.005296399895386662,1.0,0.0,0.0028847080685973445,0.0
hs_crosscheck,10,6,10,1,0,0,1,10,0,6,0.19350409897532428,0.0008343450962253028,0.013589092129707964,0.00025227165569463166,0.92973881598189,0.0016189652137951391,1.0,0.0,0.0,0.0,2.337614305065703e-08,0.0
hs_crosscheck,10,6,10,1,0,1,0,10,0,6,0.17851058218687924,0.019849785719010506,0.01560975987781671,0.005555766102226914,0.8912188545457642,0.045011254771558026,0.2558888888888889,0.008584942315933243,1.0,0.0,5.458821871189906e-06,0.0
hs_crosscheck,10,6,10,1,0,1,1,10,0,6,0.16793837230278838,0.0009698186386998377,0.020726940862617626,0.0002074004646156917,0.8765248573910541,0.0019398425055443423,1.0,0.0,0.0,0.0,2.454053162153827e-07,0.0
